42.36135, -71.08386
42.36139, -71.08396
42.36144, -71.08418
42.36139, -71.08429
42.36094, -71.08472
42.36071, -71.08537
42.36058, -71.08573
42.36036, -71.08632
42.36004, -71.08733
42.35998, -71.08752
42.35988, -71.088
42.35975, -71.08794
42.3597, -71.0881
42.35965, -71.08814
42.35921, -71.0879
42.35899, -71.08824
42.35886, -71.0886
42.35837, -71.09008
42.35818, -71.09062
42.35808, -71.09094
42.358, -71.0912
42.3579, -71.09151
42.35758, -71.09244
42.35748, -71.09253
42.35728, -71.09245
42.35719, -71.09239
42.35702, -71.09239
42.35629, -71.09204
42.35568, -71.09173
42.35517, -71.09148
42.35422, -71.091
42.35309, -71.09045
42.35268, -71.09025
42.35222, -71.09003
42.35201, -71.08994
42.35187, -71.08987
42.35178, -71.08982
42.35168, -71.08978
42.35136, -71.08964
42.35119, -71.08953
42.35096, -71.08942
42.3505, -71.08916
42.35015, -71.08901
42.34974, -71.08881
42.34967, -71.08877
42.34936, -71.08862
42.34927, -71.08855
42.34918, -71.08853
42.34898, -71.08842
42.34853, -71.08821
42.34819, -71.08802
42.34813, -71.08779
42.34834, -71.08702
